Year,Advertising,Biotechnology,eCommerce,Education,Finance,Games,Health,Manufacturing,Mobile,SocialMedia 
2000,0,86.399,0,0,0,0,0,0,0,0
2001,0,73.116,0,0,22.74,0,0,34.32,62.63,0
2002,0,51.05,3.62,0,0,0,0,0,0,0
2003,0,38.8,25,0,0,0,0,0,0,0
2004,0,37.288,70,0,0,0,0,95,0,0
2005,100,154.999,0,51,0,0,81.6,0,76.9,15.27
2006,50,156.295,130,0,123,110.5,92.5,0,261.9,64.87
2007,202,240.249,254.063,50,0,112.596,125,76.5,174,155.85
2008,341.286,50,240,90,153.798,55,0,0,230.788,25
2009,365,511.898,315.147,271.885,12,588.556,91.5,65.454,281.743,227
2010,313.111,711.13,866.724,155,407.407,485.922,358.115,170,551.151,725.702
2011,561.105,300.408,1209.296,787.64,86.069,1191.751,197.885,55,1376.443,1062.257
2012,641.236,422.55,2024.493,1127.584,279.877,637.819,344.869,127.402,1738.561,1681.207
2013,511.747,142.5,1953.616,700.013,278.497,507.252,480.34,96.434,941.799,969.153
2014,88.623,0,139.745,286,101.5,329.523,132.202,92.9,109.5,77.616
