Market,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Advertising,0,0,0,0,0,100000,50000,202000,341286,365000,313111,561105,641236,511747,88623
Biotechnology,86399,73116,51050,38800,37288,154999,156295,240249,50000,511898,711130,300408,422550,142500,0
CleanTech,0,0,0,40000,0,84077,40000,60000,87500,361666,194477,205000,435000,456299,131200
CuratedWeb,0,0,0,0,50000,17500,120000,258300,473705,695044,763815,1396851,1462391,1211181,142000
eCommerce,0,0,3620,25000,70000,0,130000,254063,240000,315147,866724,1209296,2024493,1953616,139745
Education,0,0,0,0,0,51000,0,50000,90000,271885,155000,787640,1127584,700013,286000
Enterprise,0,0,50000,0,0,0,9542,165000,237840,321500,150000,395353,589875,403401,45000
Finance,0,22740,0,0,0,0,123000,0,153798,12000,407407,86069,279877,278497,101500
Games,0,0,0,0,0,0,110500,112596,55000,588556,485922,1191751,637819,507252,329523
Health,0,0,0,0,0,81600,92500,125000,0,91500,358115,197885,344869,480340,132202
Health,0,0,0,0,0,0,0,0,52500,153671,14273,439437,298626,347982,87500
Manufacturing,0,34320,0,0,95000,0,0,76500,0,65454,170000,55000,127402,96434,92900
Mobile,0,62630,0,0,0,76900,261900,174000,230788,281743,551151,1376443,1738561,941799,109500
SocialMedia ,0,0,0,0,0,15270,64870,155850,25000,227000,725702,1062257,1681207,969153,77616
